HMR,HSR_Coeff,FFR,CFR,BMR/HMR
2,1.543319513,0.8,2,2.527777778
2.076923077,1.519552791,0.801980198,2.294117647,2.803921569
0.942028986,0.927073811,0.802469136,2.15625,2.687019231
2.259259259,1.71401574,0.802631579,1.588235294,2.135004822
3.545454545,1.994560249,0.804123711,2.365591398,2.911497105
3.217391304,1.932468843,0.804347826,2.875,3.846283784
1.275862069,1.129068527,0.804347826,2.761904762,3.284427284
2.5,1.736784868,0.804597701,2,2.142857143
2.051282051,1.497276396,0.808080808,2.6,3.2825
4.238095238,2.078432715,0.809090909,2.1,2.666292135
2.956521739,1.88131632,0.80952381,1.4375,1.670036765
3.52173913,1.955949938,0.81,1.533333333,1.817283951
1.35,1.12310311,0.81,2.5,2.87037037
3.24,1.883525593,0.81,1.923076923,2.279202279
2.3,1.650529483,0.811764706,2,2.173913043
1.97826087,1.397355641,0.8125,3.066666667,3.504761905
1.5625,1.268618456,0.815217391,3,3.88
2.5,1.616447776,0.817307692,3.4,4.28
2.222222222,1.436649663,0.819672131,1.875,2.04375
1.444444444,1.103000906,0.81981982,2.25,2.521978022
3.12,1.835220914,0.821052632,3.012048193,3.629904232
4.111111111,2.094226982,0.822222222,3,3.445945946
1.076923077,1.047826568,0.823529412,2.6,3.296428571
2.27027027,1.519521066,0.823529412,2.176470588,2.642857143
3.409090909,1.919926631,0.824175824,2.558139535,3.240310078
2.066666667,1.372980583,0.830357143,2.8125,3.175403226
1.976744186,1.36416402,0.833333333,2.15,2.630588235
2.413793103,1.621984049,0.833333333,2.636363636,3.502597403
1.666666667,1.270318241,0.833333333,3.461538462,4.153846154
1.303030303,0.99201306,0.834951456,2.538461538,3.040250447
2.171428571,1.48860718,0.835164835,2.916666667,3.530701754
3.384615385,1.801154235,0.838095238,2.888888889,3.446969697
2.689655172,1.651947273,0.838709677,2.230769231,2.716962525
2.605263158,1.519838417,0.838983051,2.533333333,2.738047138
1.953488372,1.337835081,0.84,2.047619048,2.583900227
1.38,1.116655353,0.841463415,3.333333333,3.913043478
1.38,1.116655353,0.841463415,3.333333333,3.913043478
3.24,1.780863251,0.84375,1.923076923,2.231718898
2.620689655,1.621984049,0.844444444,2.071428571,2.234962406
2.108108108,1.410376597,0.847826087,2.466666667,2.751282051
1.837837838,1.343429807,0.85,3.083333333,3.31004902
3.269230769,1.746796573,0.85,1.444444444,1.580392157
3.695652174,1.853287597,0.85,1.916666667,2.142156863
1.685185185,1.139984473,0.85046729,2.7,3.026373626
1.15942029,0.869081864,0.85106383,3,3.4875
1.333333333,0.927073811,0.851851852,2.225806452,2.491935484
1.5,1.081992526,0.852631579,2.842105263,3.333333333
2.023255814,1.309806357,0.852941176,1.592592593,1.775649212
2.675675676,1.494697483,0.853448276,2.642857143,2.98989899
2.483870968,1.531871974,0.855555556,3.924050633,4.433667598
2.14893617,1.286905215,0.855932203,1.88,2.196435644
1.46,1.081893247,0.858823529,5.376344086,6.186478126
1.914285714,1.353908606,0.858974359,3.5,4.179104478
1.840909091,1.227690009,0.861702128,2,2.148148148
